position,champion_name,matches,wins,winRate,meanFinalScore,meanKDA
77,Janna,2,1,50.0,25.101331143663568,3.2
78,Malzahar,4,2,50.0,49.85971984370071,1.7638888888888888
79,Lulu,2,1,50.0,18.742172843076705,2.125
80,Bard,2,1,50.0,38.32169939982242,6.928571428571429
81,Sivir,2,1,50.0,48.44072322789319,4.375
82,Morgana,15,7,46.666666666666664,28.65619893514007,2.6190644540644543
83,Darius,5,2,40.0,35.573803524035014,1.5995238095238096
84,Yone,5,2,40.0,31.793728918663213,1.5890476190476188
85,Karma,5,2,40.0,25.183922062384973,3.4285714285714284
86,DrMundo,10,4,40.0,45.4710620964443,2.6876190476190476
87,Kayn,3,1,33.33333333333333,33.23509575534599,1.8730158730158732
88,Trundle,3,1,33.33333333333333,41.35955867875424,1.8383838383838382
89,Volibear,2,0,0.0,38.813065659977525,1.297979797979798
90,Seraphine,1,0,0.0,27.266713105647,2.5
91,Pantheon,1,0,0.0,27.53101161588479,1.4166666666666667
92,JarvanIV,2,0,0.0,32.74412291403583,1.2238095238095237
93,Briar,1,0,0.0,25.70788350326112,0.7777777777777778
94,Tristana,1,0,0.0,25.473386683744263,1.0
95,Vayne,6,0,0.0,37.900614615747536,2.0974266474266474
96,Soraka,1,0,0.0,20.443686006687663,1.3
97,Rumble,1,0,0.0,27.29249165683026,0.6
98,Shyvana,1,0,0.0,44.44241998893048,1.125
99,Taric,1,0,0.0,10.397566248006198,1.1428571428571428
100,Tryndamere,1,0,0.0,36.24994385268387,0.2
101,Kalista,1,0,0.0,33.917016750488514,1.1
102,Orianna,1,0,0.0,38.28342923472331,2.142857142857143
103,Gwen,1,0,0.0,40.17846318126905,1.6363636363636365
104,Qiyana,1,0,0.0,51.33906853064088,2.857142857142857
105,Akshan,1,0,0.0,36.734737610050736,1.2
106,Fizz,1,0,0.0,58.06144224450286,2.0
107,Lissandra,1,0,0.0,45.91536473360736,1.8571428571428572
108,Kayle,1,0,0.0,39.63629183763669,1.4444444444444444
109,Velkoz,1,0,0.0,24.663177098747077,0.7142857142857143
110,Yunara,1,0,0.0,33.10523605843684,1.2
111,Katarina,1,0,0.0,31.955628285396223,1.5
112,Chogath,1,0,0.0,36.948786673429126,0.8333333333333334
113,Zyra,1,0,0.0,48.70051557534138,4.0
114,Yorick,1,0,0.0,34.57097964176806,0.6666666666666666
115,Draven,1,0,0.0,22.849453905985413,0.9090909090909091
116,Brand,1,0,0.0,24.307226707112733,0.75
117,KSante,1,0,0.0,53.921098872522734,2.0
118,Zed,1,0,0.0,41.277646861358114,2.0
