metrics_id,match_pk,match_riot_id,puuid,nick,tag,team_position,win,champion_name,kda,dmg_per_min,gold_per_min,cs_per_min,kp,dmg_taken_per_min,deaths_per_min,xp_per_min,vision_per_min,cc_per_min,final_score,created_at
49,11,BR1_3184981799,C-wmPkxrDFHqRraWSfvX5xcy_Ld1_ob0959GCUP0jB0f4Fibuhvvt2fqsSwQXZ291MSNhHlMzYciUA,O Magro de OZ,BR1,BOTTOM,0,Lucian,1.4,961.0396039603961,423.59405940594064,7.009900990099011,0.5384615384615384,831.0297029702971,0.29702970297029707,433.3663366336634,0.38613861386138615,1.1384554455445546,30.664949222788447,
50,11,BR1_3184981799,lc3VP49IL5sYOUv23oIBvFHFIHQTXK23boStGy7WplVcWQ0kaw4_gVewVdxfYOwyW4czRvktb0ElGw,PabIo Escobar,INTEN,UTILITY,0,Milio,3.0,169.990099009901,241.51485148514854,0.9207920792079208,0.8076923076923077,551.4653465346535,0.20792079207920794,346.72277227722776,2.108910891089109,3.734465346534654,31.429070223366686,
41,10,BR1_3185196072,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg,Rebeca Diana,egirl,TOP,1,Malphite,9.0,907.5657894736843,412.89473684210526,5.1644736842105265,0.45,551.7763157894738,0.06578947368421052,547.3026315789474,0.39473684210526316,22.634934210526318,63.2867528415969,
42,10,BR1_3185196072,Hh4jcp8pmKe-UPwVUmhvyaLJsXgZJEt_ZQ999lRplEP8F0cXLPXVruARPm82arJr_J2TmF5ThSJ12g,Faisca,pregu,JUNGLE,1,Ivern,6.0,288.6842105263158,371.6776315789474,5.7894736842105265,0.45,545.2302631578948,0.09868421052631579,541.578947368421,1.4144736842105263,6.1000000000000005,52.12395879068071,
43,10,BR1_3185196072,lc3VP49IL5sYOUv23oIBvFHFIHQTXK23boStGy7WplVcWQ0kaw4_gVewVdxfYOwyW4czRvktb0ElGw,PabIo Escobar,INTEN,MIDDLE,1,Kassadin,4.666666666666667,672.1052631578948,395.29605263157896,5.921052631578948,0.35,909.0131578947369,0.09868421052631579,591.9407894736843,0.3618421052631579,4.065197368421052,48.52397463194315,
44,10,BR1_3185196072,fXVHYfb7EQZCcscdVUQ2pimnwZWUCbcdZ_6d2P7ItA-lJZst2lvkQzVCRJLoHCwtiVkel6Dc_sfBqw,Gabinho,INTEN,BOTTOM,1,Caitlyn,3.1666666666666665,1075.5263157894738,555.7894736842105,7.072368421052632,0.475,654.1118421052632,0.19736842105263158,495.3618421052632,0.4276315789473684,2.326875,48.450230454234465,
45,10,BR1_3185196072,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ,Murakami UHULL,br1,UTILITY,1,Morgana,4.5,1058.8815789473686,341.4144736842105,1.5789473684210527,0.45,569.671052631579,0.13157894736842105,432.53289473684214,0.625,3.6310855263157897,38.52930643121494,
83,20,BR1_3185216914,B3FeOVXhbzsiACzuf345JOVNd7JZ0hK_1YKzE3ezLAcgQJFQT8apTBV7P760d8xIP_RrFPM3sDtGZQ,Winter,169,TOP,1,Malphite,6.5,1451.0747663551404,454.0934579439253,6.785046728971963,0.52,765.3644859813085,0.11214953271028039,601.0934579439253,0.36448598130841126,31.21219626168224,71.12792910369541,
84,20,BR1_3185216914,ckA1_xR4vI42c6jsIOyxQmQgryvMUF0Oz6ftSPtPxBd6h1Xc-oJY1FLg3Gznir904eyK-KsrD9sbvg,Rebeca Diana,egirl,JUNGLE,1,Nunu,6.166666666666667,797.158878504673,427.2897196261683,5.046728971962617,0.74,1478.4112149532712,0.16822429906542058,524.8878504672898,0.25233644859813087,12.169485981308412,57.171730901466006,
85,20,BR1_3185216914,RdAC2eV1HRS-Vd5-yJiNYnn1G9VfZITebUDifqa0RRFi18Ka6pMqMMdC-FHSirQwFZJ-ltw3wRHuqQ,Murakami UHULL,br1,BOTTOM,1,Ezreal,3.0,1325.2710280373833,402.42056074766356,6.841121495327103,0.42,887.158878504673,0.19626168224299068,474.9252336448599,0.22429906542056077,2.0955981308411213,36.11043450054619,
